CO_PER_ROL,YEAR,CUSIP,CONAME,EXEC_FNAME,EXEC_LNAME,TWITTER,T_NAME,Search Date,company related,personal related,Note,
47785,2017,12719030,CACI INTL INC -CL A,Kenneth,Asbury,X,X,,,,,
37395,2017,12738710,CADENCE DESIGN SYSTEMS INC,Lip-Bu,Tan,X,X,,,,,
52698,2017,12768610,CAESARS ENTERTAINMENT CORP,Mark,Frissora,X,X,,,,,
47790,2017,12812610,CALAMP CORP,Michael,Burdiek,X,X,,,,,
38502,2017,12824610,CALAVO GROWERS INC,Lecil,Cole,X,X,,,,,
29266,2017,12950010,CALERES INC,Diane,Sullivan,X,X,,,,,
49898,2017,13057Q20,CALIFORNIA RESOURCES CORP,Todd,Stevens,X,X,,,,,
51977,2017,13078810,CALIFORNIA WATER SERVICE GP,Martin,Kropelnicki,X,X,,,,,
47229,2017,13119310,CALLAWAY GOLF CO,Oliver,Brewer,X,X,,,,,
55620,2017,13123X10,CALLON PETROLEUM CO/DE,Joseph,Gatto,X,X,,,,,
37272,2017,13134730,CALPINE CORP,John,Hill,X,X,,,,,
10532,2017,13201110,CAMBREX CORP,Steven,Klosk,X,X,,,,,
34445,2017,13313110,CAMDEN PROPERTY TRUST,Richard,Campo,X,X,,,,,
35888,2017,13442910,CAMPBELL SOUP CO,Denise,Morrison,X,X,,,,,
48111,2017,13809810,CANTEL MEDICAL CORP,Jorgen,Hansen,X,X,,,,,
39924,2017,13959410,CAPELLA EDUCATION CO,J.,Gilligan,X,X,,,,,
14064,2017,14040H10,CAPITAL ONE FINANCIAL CORP,Richard,Fairbank,X,X,,,,,
47871,2017,1.41E+54,CAPSTEAD MORTGAGE CORP,Phillip,Reinsch,X,X,,,,,
32705,2017,14078110,CARBO CERAMICS INC,Gary,Kolstad,X,X,,,,,
35861,2017,14149Y10,CARDINAL HEALTH INC,George,Barrett,X,X,,,,,
43623,2017,G1991C10,CARDTRONICS PLC,Steven,Rathgaber,X,X,,,,,
52907,2017,14166510,CAREER EDUCATION CORP,Todd,Nelson,X,X,,,,,
49475,2017,14174T10,CARETRUST REIT INC,Gregory,Stapley,X,X,,,,,
36904,2017,14233910,CARLISLE COS INC,D.,Koch,X,X,,,,,
47620,2017,14313010,CARMAX INC,William,Nash,X,X,,,,,
48503,2017,14365830,CARNIVAL CORP/PLC (USA),Arnold,Donald,X,X,,,,,
47793,2017,14428510,CARPENTER TECHNOLOGY CORP,Tony,Thene,X,X,,,,,
46546,2017,14457710,CARRIZO OIL & GAS INC,Sylvester,Johnson,X,X,,,,,
55498,2017,1.46E+14,CARS.COM INC,T.,Vetter,X,X,,,,,
39877,2017,14622910,CARTER'S INC,Michael,Casey,X,X,,,,,
51979,2017,14841130,CASTLE (A M) & CO,Steven,Scheinkman,X,X,,,,,
51367,2017,14880610,CATALENT INC,John,Chiminski,X,X,,,,,
48694,2017,14912310,CATERPILLAR INC,D.,Umpleby,X,X,,,,,
48919,2017,14915010,CATHAY GENERAL BANCORP,Pin,Tai,X,X,,,,,
5773,2017,14920510,CATO CORP -CL A,John,Derham Cato,X,X,,,,,
53153,2017,14956810,CAVCO INDUSTRIES INC,Joseph,Stegmayer,X,X,,,,,
55319,2017,12483010,CBL & ASSOCIATES PPTYS INC,Stephen,Lebovitz,https://twitter.com/SDLebovitz,SDLebovitz,20,0,2018/12/1,,
45013,2017,12503M10,CBOE GLOBAL MARKETS INC,Edward,Tilly,X,X,,,,,
32481,2017,12504L10,CBRE GROUP INC,Robert,Sulentic,X,X,,,,,
29214,2017,12485720,CBS CORP,Leslie,Moonves,X,X,,,,2018/9/9 ??,
53656,2017,1.25E+14,CDK GLOBAL INC,Brian,MacDonald,X,X,,,,????CEO,
44866,2017,12514G10,CDW CORP,Thomas,Richards,X,X,,,,,
50178,2017,12599M93,CEC ENTERTAINMENT INC,Thomas,Leverton,X,X,,,,,
45930,2017,15060220,CEDAR REALTY TRUST INC,Bruce,Schanzer,X,X,,,,,
47551,2017,15102010,CELGENE CORP,Mark,Alles,X,X,,,,,
36182,2017,15135B10,CENTENE CORP,Michael,Neidorff,X,X,,,,,
50050,2017,15189T10,CENTERPOINT ENERGY INC,Scott,Prochazka,X,X,,,,,
53925,2017,15352720,CENTRAL GARDEN & PET CO,George,Roeth,X,X,,,,,
43455,2017,15476040,CENTRAL PACIFIC FINANCIAL CP,Anli,Ngo,X,X,,,,,
33256,2017,15643110,CENTURY ALUMINUM CO,Michael,Bless,X,X,,,,,
2865,2017,15670010,CENTURYLINK INC,Glen,Post,X,X,,,,,
7197,2017,15678210,CERNER CORP,Clifford,Illig,X,X,,,,,
43180,2017,15721010,CEVA INC,Gideon,Wertheizer,X,X,,,,,
42136,2017,12526910,CF INDUSTRIES HOLDINGS INC,W.,Will,X,X,,,,,
24168,2017,15986410,CHARLES RIVER LABS INTL INC,James,Foster,X,X,,,,,
54858,2017,16115Q30,CHART INDUSTRIES INC,William,Johnson,X,X,,,,,
53755,2017,16119P10,CHARTER COMMUNICATIONS INC,Thomas,Rutledge,X,X,,,,,
55530,2017,16208T10,CHATHAM LODGING TRUST,Jeffrey,Fisher,X,X,,,,,
8496,2017,16307210,CHEESECAKE FACTORY INC,David,Overton,X,X,,,,,
5797,2017,16359R10,CHEMED CORP,Kevin,McNamara,X,X,,,,,
