name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created
bill_angrick,'3409131729,43015,2017,"William P. Angrick, III",55,82,en,2015-08-08 20:59:20
rapino99,'21900452,36297,2017,Michael Rapino,32876,345,en,2009-02-25 18:42:31
RobLoCascio,'17807401,44266,2017,Robert P. LoCascio,2152,364,en,2008-12-02 13:43:06
B_Wagner,'98006282,49214,2017,William R. Wagner,1865,756,en,2009-12-19 23:48:17
albala,'18272589,37869,2017,Alfredo Bala,1531,1240,und,2008-12-20 21:01:01
JonasPrising,'15814436,34053,2017,Jonas Prising,6728,348,en,2008-08-11 21:54:40
GregorySMarcus,'858037832832516096,29848,2017,Gregory S. Marcus,1,3,es,2017-04-28 19:18:55
JoseRMas,'389827189,24684,2017,Jos Ramon Mas,293,61,en,2011-10-13 01:52:48
LKurzius,'1436343925,32096,2017,Lawrence E. Kurzius,176,39,en,2013-05-17 18:10:31
SteveEasterbrk,'2872869473,50557,2017,Stephen J. Easterbrook,13276,20,en,2014-11-11 20:50:33
clive_meanwell,'3410268473,44567,2017,Clive A. Meanwell,78,40,en,2015-08-09 12:34:25
MRCY_CEO,'705135558201360384,35903,2017,Mark Aslett,96,73,en,2016-03-02 20:59:52
satyanadella,'20571756,47866,2017,Satya Nadella,1843072,227,en,2009-02-11 04:45:34
michael_saylor,'244647486,18581,2017,Michael J. Saylor,133062,224,cs,2011-01-29 20:11:04
JocOrourke,'396586414,44925,2017,James C. ORourke,103,98,en,2011-10-23 13:52:23
gregbrownmoto,'254144341,26740,2017,Gregory Q. Brown,3743,30,en,2011-02-18 18:01:14
Bill_Nuti,'492747625,30276,2017,William R. Nuti,5335,5465,en,2012-02-15 02:34:17
NRGMauricio,'726131988772610048,42731,2017,Mauricio Gutierrez,8400,187,en,2016-04-29 19:32:11
adenatfriedman,'2810270363,35980,2017,Adena T. Friedman,10480,3412,en,2014-10-06 13:08:49
reedhastings,'15241557,32861,2017,"Wilmot Reed Hastings, Jr.",45411,77,en,2008-06-26 07:24:42
MichaelPolk55,'717367242367844353,45243,2017,Michael B. Polk,11,29,fr,2016-04-05 15:04:13
DawnZierNTRI,'2548166449,47590,2017,Dawn M. Zier,1675,672,en,2014-06-05 13:34:09
rod_hershberger,'3346562993,49405,2017,Rodney Hershberger,35,46,en,2015-06-26 14:20:37
MrColinShannon,'2824122886,60380,2017,Colin Shannon,994,269,en,2014-10-12 01:33:27
JimHeppelmann,'3130900821,24935,2017,James E. Heppelmann,2102,559,en,2015-04-01 02:02:57
IAmPapaJohn,'413457123,17117,2017,John H. Schnatter,12641,24,en,2011-11-15 22:25:52
Dan_Schulman,'600159484,51420,2017,Daniel H. Schulman,10292,58,en,2012-06-05 14:39:42
MarvinREllison,'2413051784,50097,2017,Marvin R. Ellison,19545,12,en,2014-03-26 19:44:05
IndraNooyi,'2652536876,18812,2017,Indra K. Nooyi,69331,173,en,2014-07-17 01:35:59
JoeBBurton,'214195952,46177,2017,Joseph B. Burton,1909,801,en,2010-11-10 20:21:22
yogeshgupta1,'17872001,54830,2017,Yogesh Gupta,305,37,en,2008-12-04 16:58:58
VickiMHolt,'3130889372,52397,2017,Victoria M. Holt,665,395,en,2015-04-02 14:24:22
stevemollenkopf,'2352239539,38760,2017,Steven M. Mollenkopf,3306,76,en,2014-02-19 20:48:14
