CO_PER_ROL,YEAR,EXEC_FULLNAME,T_NAME
46251,2017,Rohit Kapoor,X
34604,2017,Dara Khosrowshahi,dkhos
50501,2017,Jeffrey S. Musser,X
38586,2017,Paul R. Johnston,X
51538,2017,David G. Kornberg,X
50240,2017,Timothy C. Wentworth,X
53039,2017,"Joseph D. Margolis, J.D.",X
51645,2017,"Edward B. Meyercord, III",X
52190,2017,Andrew James Way,X
51780,2017,Stuart Ian Grimshaw,X
53531,2017,Darren W. Woods,X
25711,2017,Andrew C. Teich,AndyTeich
43313,2017,Pierre R. Brondeau,X
44153,2017,"Vincent J. Delie, Jr.",X
60253,2017,John C. Walden,X
50823,2017,Steven H. Gunby,X
48275,2017,Mark Elliot Zuckerberg,X
49931,2017,Frederick Philip Snow,X
46487,2017,William J. Lansing,X
34633,2017,Simon Raab,X
16179,2017,Daniel L. Florness,X
46809,2017,Donald H. Layton,X
38930,2017,Timothy J. Mayopoulos,X
34638,2017,"Donald C. Wood, CPA",X
28763,2017,Jennifer L. Sherman,X
21390,2017,John Christopher Donahue,X
37319,2017,Peter T. Thomas,X
29701,2017,John McAdam,X
37283,2017,Gary Adam Norcross,Gary_Norcross
31984,2017,Raymond Randall Quirk,X
53953,2017,"James B. Miller, Jr.",X
60329,2017,Richard C. Stockinger,X
28392,2017,Gregory D. Carmichael,X
44692,2017,Lawrence Michael Raffone,X
44500,2017,Samuel M. Sato,X
43248,2017,Dennis Joseph Gilmore,X
16709,2017,Aurelio Alemn-Bermudez,X
37810,2017,Thomas Michael Price,X
48549,2017,Frank J. Bisignano,X
31989,2017,Claude E. Davis,X
35747,2017,F. Scott Dueser,X
34808,2017,D. Bryan Jordan,X
54924,2017,Peter E. Baccile,X
25907,2017,Michael L. Scudder,X
36773,2017,"James H. Herbert, II",X
45845,2017,Mark R. Widmar,X
33293,2017,Rick L. Wessel,X
30590,2017,Jeffrey W. Yabuki,jeffyabuki
42620,2017,Alessandro P. DiNello,sandrodinello
43756,2017,"Charles E. Jones, Jr.",X
51932,2017,Joel D. Anderson,X
47934,2017,John William Chisholm,X
37031,2017,David Thomas Seaton,X
26112,2017,Allen L. Shiver,X
58702,2017,Robert Scott Rowe,X
17487,2017,Richard A. Johnson,X
23940,2017,"William Clay Ford, Jr.",X
45865,2017,Phillip J. Weber,X
58350,2017,Michael D. Slessor,X
39627,2017,George F. Colony,gcolony
48674,2017,Ken Xie,KenXieFortinet
53683,2017,James A. Lico,X
44947,2017,Christopher J. Klein,X
17767,2017,Kosta N. Kartsotis,X
