name,id_str,CO_PER_ROL,YEAR,EXEC_FULLNAME,followers_count,friends_count,lang,account_created,location,verified
robert_flexon,'847908083904983040,45962,2017,Robert C. Flexon,2,5,en,2017/3/31 20:26,,FALSE
devinwenig,'234859616,45686,2017,Devin N. Wenig,12182,192,en,2011/1/6 19:10,"San Jose, CA",TRUE
echoceo,'89600998,51017,2017,Douglas R. Waggoner,97,22,und,2009/11/13 02:04,Chicago,FALSE
CEOEcolab,'735918311859322880,23730,2017,"Douglas M. Baker, Jr.",1200,252,en,2016/5/26 19:39,,FALSE
sflanders1 ?,'721544786822373376,55412,2017,Scott N. Flanders,1,217,en,2016/4/17 03:44,,FALSE
GuyGecht,'525058171,46511,2017,Guy Gecht,936,253,en,2012/3/15 05:20,Silicon Valley,FALSE
DavidFieldETM,'351997275,20826,2017,David J. Field,3984,467,en,2011/8/10 00:45,Philadelphia,TRUE
dkhos,'41642329,34604,2017,Dara Khosrowshahi,90502,430,en,2009/5/21 18:17,,TRUE
Gary_Norcross,'2903827717,37283,2017,Gary Adam Norcross,3430,241,en,2014/11/18 16:04,"Jacksonville, FL",FALSE
jeffyabuki,'257772210,30590,2017,Jeffrey W. Yabuki,2421,4,en,2011/2/26 04:00,"Milwaukee, WI",FALSE
sandrodinello,'847072382443499521,42620,2017,Alessandro P. DiNello,25,38,en,2017/3/29 13:06,"Birmingham, MI",FALSE
gcolony,'16002567,39627,2017,George F. Colony,15418,72,en,2008/8/26 20:53,Boston,FALSE
KenXieFortinet,'1052359200368541696,48674,2017,Ken Xie,441,96,en,2018/10/17 00:42,,FALSE
Artpeck,'355528975,37246,2017,Arthur Peck,83,40,en,2011/8/15 14:09,"San Francisco, CA",TRUE
JeffImmelt,'771525061,21042,2017,Jeffrey R. Immelt,58628,136,en,2012/8/21 13:34,Boston & Menlo Park,TRUE
mtbarra,'1219824320,47522,2017,Mary T. Barra,46336,70,en,2013/2/25 21:27,Detroit,TRUE
lloydblankfein,'313381067,24950,2017,Lloyd C. Blankfein,109365,29,en,2011/6/8 15:30,,TRUE
oshy,'14124000,50624,2017,Timothy J. OShaughnessy,2841,473,en,2008/3/11 14:48,"Washington, DC",FALSE
BCLHMS,'410207576,34783,2017,William C. Lucia,342,486,en,2011/11/11 19:54,"Dallas, TX",FALSE
Karen_A_Puckett,'4060671740,52624,2017,Karen A. Puckett,419,668,en,2015/10/29 19:21,,FALSE
_bgoldner,'1935139158,21459,2017,Brian D. Goldner,678,490,en,2013/10/4 19:06,,FALSE
KRajagopalan_,'1117097478,52952,2017,Krishnan Rajagopalan,67,6,en,2013/1/24 15:49,,FALSE
MegWhitman,'20733756,51789,2017,Margaret Cushing Whitman,212336,301,en,2009/2/13 00:03,California,TRUE
Masoniam,'236968898,54003,2017,Mark K. Mason,42,56,en,2011/1/11 19:44,"Seattle, WA",FALSE
BruceDBroussard,'934774592,45547,2017,Bruce Dale Broussard,6096,38,en,2012/11/8 15:37,"Louisville, KY",FALSE
joeyl,'5687182,53240,2017,Joseph M. Levin,125,195,en,2007/5/1 14:53,,FALSE
sgh_john,'2358268309,55260,2017,John N. Haugh,1229,243,en,2014/2/23 17:15,,FALSE
PittmanRadio,'279093933,45089,2017,Robert W. Pittman,18704,161,en,2011/4/8 15:35,New York. VeniceBeach. BRC.,TRUE
fdesouza,'24974525,51887,2017,Francis A. deSouza,5314,479,en,2009/3/17 22:56,San Francisco,FALSE
PaulBisaro,'1668464336,59445,2017,Paul M. Bisaro,60,67,und,2013/8/13 18:20,,FALSE
IloveIncyte,'2586495355,50766,2017,Herv Hoppenot,346,17,en,2014/6/24 23:07,Planet Earth,FALSE
